运行模式,场景编号,目标日产氨量(吨),日总成本(元),日增量成本(元),吨氨成本(元/吨),增量吨氨成本(元/吨),总用电量(MWh),新能源发电量(MWh),网购电量(MWh),上网电量(MWh),弃电量(MWh),E_self_supply_MWh,自用新能源电量(MWh),balance_gap_MWh,自发自用率,绿电用电比例,上网比例,自发自用率达标,绿电占比达标,2030绿电占比达标,上网比例达标,is_all_qualified,题面公式自用率,statement_green_load_ratio,statement_sell_ratio,合格情况
离散开停机,W3P1,72,380328.03313287674,341658.03613287676,5282.333793512177,4745.25050184551,1056.7199999999998,780.8399999999999,402.2482,126.36819999999997,0.0,654.4717999999998,654.4717999999999,-1.1368683772161603e-13,0.8381637723477281,0.6193426830191536,0.1618362276522719,是,是,是,是,是,0.676327544695456,0.6193426830191536,0.1618362276522719,全满足
离散开停机,W3P1,63,279660.59503287676,240990.59803287676,4439.057064013917,3825.247587823441,932.22,780.8399999999999,311.2944,159.9144,0.0,620.9256,620.9255999999999,1.1368683772161603e-13,0.7952020900568618,0.6660719572633068,0.20479790994313818,是,是,是,否,否,0.5904041801137238,0.6660719572633068,0.20479790994313818,部分满足
离散开停机,W3P1,54,198908.43403287674,160238.43703287674,3683.489519127347,2967.3784635717916,807.7199999999999,780.8399999999999,229.83640000000003,202.95640000000003,0.0,577.8835999999999,577.8835999999999,0.0,0.7400794016699963,0.7154504036052096,0.25992059833000364,是,是,是,否,否,0.48015880333999267,0.7154504036052096,0.25992059833000364,部分满足
离散开停机,W3P1,45,135356.7931328767,96686.79613287668,3007.9287362861487,2148.5954696194817,683.22,780.8399999999999,223.32620000000003,320.94620000000003,0.0,459.8938,459.8937999999999,1.1368683772161603e-13,0.5889731571128527,0.673126957641755,0.41102684288714725,否,是,是,否,否,0.17794631422570562,0.673126957641755,0.41102684288714725,部分满足
离散开停机,W3P1,36,73299.2431328767,34629.2461328767,2036.0900870243527,961.9235036910195,558.72,780.8399999999999,223.32620000000003,445.44620000000003,0.0,335.3938,335.3937999999999,1.1368683772161603e-13,0.42952948107166633,0.6002895904925541,0.5704705189283337,否,是,是,否,否,-0.14094103785666723,0.6002895904925541,0.5704705189283337,部分满足
离散开停机,W3P2,72,479823.91303287674,441153.91603287676,6664.22101434551,6127.137722678844,1056.7199999999998,522.28,538.1664,3.7264000000000053,0.0,518.5535999999998,518.5536,-1.1368683772161603e-13,0.9928651298154246,0.4907199636611402,0.007134870184575334,是,是,是,是,是,0.985730259630849,0.4907199636611402,0.007134870184575334,全满足
离散开停机,W3P2,63,375624.63493287674,336954.63793287677,5962.295792585345,5348.486316394869,932.22,522.28,438.8926,28.95260000000001,0.0,493.3274,493.32739999999995,5.684341886080802e-14,0.9445649842996093,0.5291963270472635,0.05543501570039062,是,是,是,是,是,0.889129968599219,0.5291963270472635,0.05543501570039062,全满足
离散开停机,W3P2,54,290067.1111328767,251397.1141328767,5371.613169127347,4655.502113571791,807.72,522.28,336.49620000000004,51.05620000000001,0.0,471.2238,471.2238,0.0,0.902243624109673,0.583399940573466,0.09775637589032705,是,是,是,是,是,0.8044872482193459,0.583399940573466,0.09775637589032705,全满足
离散开停机,W3P2,45,212279.70103287674,173609.70403287673,4717.326689619483,3857.993422952816,683.22,522.28,278.0304,117.09040000000002,0.0,405.18960000000004,405.1895999999999,1.1368683772161603e-13,0.7758091445201807,0.5930587512075172,0.2241908554798193,是,是,是,否,否,0.5516182890403615,0.5930587512075172,0.2241908554798193,部分满足
离散开停机,W3P2,36,141740.4160328767,103070.4190328767,3937.2337786910193,2863.067195357686,558.72,522.28,245.10040000000004,208.6604,0.0,313.6196,313.6196,0.0,0.6004817339358198,0.5613180126002291,0.39951826606418017,是,是,是,否,否,0.20096346787163977,0.5613180126002291,0.39951826606418017,部分满足
离散开停机,W3P3,72,579375.8802328767,540705.8832328768,8046.887225456621,7509.803933789955,1056.7199999999998,356.52000000000004,700.1999999999999,0.0,0.0,356.51999999999987,356.52000000000004,-1.7053025658242404e-13,1.0,0.33738360208948454,0.0,是,是,否,是,是,0.9999999999999996,0.33738360208948454,0.0,全满足
离散开停机,W3P3,63,474361.5621328768,435691.5651328768,7529.548605283759,6915.739129093283,932.22,356.52000000000004,599.0062,23.306200000000004,0.0,333.2138,333.21380000000005,-5.684341886080802e-14,0.9346286323347919,0.3574411619574779,0.06537136766520812,是,是,是,是,是,0.8692572646695836,0.3574411619574779,0.06537136766520812,全满足
离散开停机,W3P3,54,379735.4382328767,341065.44123287674,7032.137745053273,6316.026689497718,807.72,356.52000000000004,522.2840000000001,71.084,0.0,285.4359999999999,285.43600000000004,-1.1368683772161603e-13,0.8006170761808594,0.35338483632942114,0.19938292381914058,是,是,是,是,是,0.6012341523617184,0.35338483632942114,0.19938292381914058,全满足
离散开停机,W3P3,45,291614.82423287665,252944.82723287665,6480.329427397259,5620.996160730592,683.22,356.52000000000004,427.13,100.43,0.0,256.09000000000003,256.09000000000003,0.0,0.7183047234376753,0.3748280202570183,0.2816952765623247,是,是,是,否,否,0.43660944687535047,0.3748280202570183,0.2816952765623247,部分满足
离散开停机,W3P3,36,206992.2861328767,168322.2891328767,5749.785725913242,4675.619142579908,558.72,356.52000000000004,345.2962,143.09620000000004,0.0,213.42380000000003,213.4238,2.842170943040401e-14,0.5986306518568383,0.38198704180985105,0.4013693481431617,否,是,是,否,否,0.19726130371367653,0.38198704180985105,0.4013693481431617,部分满足
离散开停机,W3P4,72,618868.6162328768,580198.6192328768,8595.397447678844,8058.314156012178,1056.7199999999998,291.88,764.8399999999999,0.0,0.0,291.8799999999999,291.88,-1.1368683772161603e-13,1.0,0.2762131879778939,0.0,是,否,否,是,否,0.9999999999999996,0.2762131879778939,0.0,部分满足
离散开停机,W3P4,63,511063.46533287666,472393.4683328767,8112.118497347248,7498.309021156772,932.22,291.88,657.0717999999999,16.7318,0.0,275.1482000000001,275.1482,1.1368683772161603e-13,0.9426757571604768,0.2951537190791873,0.057324242839523094,是,否,否,是,否,0.885351514320954,0.2951537190791873,0.057324242839523094,部分满足
离散开停机,W3P4,54,407842.32013287675,369172.3231328768,7552.635558016236,6836.524502460681,807.72,291.88,560.1022,44.26220000000001,0.0,247.6178,247.6178,0.0,0.84835480334384,0.30656390828504926,0.15164519665616008,是,是,否,是,是,0.6967096066876798,0.30656390828504926,0.15164519665616008,全满足
离散开停机,W3P4,45,313883.8141328767,275213.8171328767,6975.195869619482,6115.862602952816,683.22,291.88,468.0122,76.6722,0.0,215.20780000000002,215.2078,2.842170943040401e-14,0.7373160202823078,0.31499048622698395,0.2626839797176922,是,是,否,否,否,0.4746320405646158,0.31499048622698395,0.2626839797176922,部分满足
离散开停机,W3P4,36,227685.2050328767,189015.2080328767,6324.589028691019,5250.422445357686,558.72,291.88,362.8224,95.98240000000001,0.0,195.8976,195.89759999999998,2.842170943040401e-14,0.6711580101411538,0.35061855670103087,0.32884198985884616,是,是,是,否,否,0.3423160202823079,0.35061855670103087,0.32884198985884616,部分满足
离散开停机,W4P1,72,355389.29663287674,316719.29963287676,4935.962453234399,4398.879161567733,1056.7199999999998,876.924,353.50199999999995,173.706,0.0,703.2179999999998,703.218,-1.1368683772161603e-13,0.8019144190374536,0.6654724051782877,0.19808558096254636,是,是,是,是,是,0.6038288380749071,0.6654724051782877,0.19808558096254636,全满足
离散开停机,W4P1,63,255443.60063287665,216773.60363287665,4054.660327505979,3440.8508513155025,932.22,876.924,246.83199999999997,191.536,0.0,685.388,685.3879999999999,1.1368683772161603e-13,0.7815819842996656,0.7352212996932054,0.21841801570033437,是,是,是,否,否,0.5631639685993313,0.7352212996932054,0.21841801570033437,部分满足
离散开停机,W4P1,54,176737.0055328767,138067.0085328767,3272.9075098680873,2556.7964543125313,807.7199999999999,876.924,188.9542,258.1582,0.0,618.7657999999999,618.7657999999999,0.0,0.7056093800603016,0.766064725399891,0.29439061993969834,是,是,是,否,否,0.4112187601206033,0.766064725399891,0.29439061993969834,部分满足
离散开停机,W4P1,45,114679.45553287675,76009.45853287674,2548.432345175039,1689.099078508372,683.22,876.924,188.9542,382.65819999999997,0.0,494.2658,494.2658,0.0,0.5636358452956015,0.7234357893504288,0.43636415470439854,否,是,是,否,否,0.12727169059120297,0.7234357893504288,0.43636415470439854,部分满足
离散开停机,W4P1,36,52621.90553287673,13951.908532876732,1461.7195981354646,387.55301480213143,558.72,876.924,188.9542,507.15819999999997,0.0,369.7658,369.7658,0.0,0.4216623105309012,0.66180877720504,0.5783376894690988,否,是,是,否,否,-0.15667537893819752,0.66180877720504,0.5783376894690988,部分满足
离散开停机,W4P2,72,445192.66853287676,406522.6715328768,6183.231507401066,5646.1482157344,1056.7199999999998,618.364,448.09619999999995,9.740200000000009,0.0,608.6237999999998,608.6238000000001,-2.2737367544323206e-13,0.9842484361961564,0.5759555984555986,0.015751563803843703,是,是,是,是,是,0.9684968723923124,0.5759555984555986,0.015751563803843703,全满足
离散开停机,W4P2,63,343088.7224328767,304418.72543287673,5445.852737029789,4832.043260839313,932.22,618.364,353.75840000000005,39.902400000000014,0.0,578.4616,578.4616,0.0,0.9354710170708513,0.6205204779987556,0.06452898292914855,是,是,是,是,是,0.8709420341417028,0.6205204779987556,0.06452898292914855,全满足
离散开停机,W4P2,54,258908.0246328767,220238.0276328767,4794.593048756976,4078.4819932014207,807.72,618.364,267.27200000000005,77.91600000000001,0.0,540.448,540.448,0.0,0.8739965457238777,0.6691031545585103,0.12600345427612217,是,是,是,是,是,0.7479930914477555,0.6691031545585103,0.12600345427612217,全满足
离散开停机,W4P2,45,186395.8976328767,147725.9006328767,4142.131058508371,3282.7977918417046,683.2199999999999,618.364,227.14600000000002,162.29000000000002,0.0,456.0739999999999,456.074,-1.1368683772161603e-13,0.7375494045578332,0.6675360791545916,0.26245059544216676,是,是,是,否,否,0.4750988091156662,0.6675360791545916,0.26245059544216676,部分满足
离散开停机,W4P2,36,118804.68953287671,80134.69253287671,3300.130264802131,2225.9636814687974,558.72,618.364,203.0342,262.6782,0.0,355.68580000000003,355.68580000000003,0.0,0.5752045720643505,0.6366083190148912,0.42479542793564956,否,是,是,否,否,0.15040914412870093,0.6366083190148912,0.42479542793564956,部分满足
离散开停机,W4P3,72,542570.0386328767,503900.04163287673,7535.694981012177,6998.61168934551,1056.7199999999998,452.60400000000004,604.116,0.0,0.0,452.6039999999998,452.60400000000004,-2.2737367544323206e-13,1.0,0.42831024301612547,0.0,是,是,是,是,是,0.9999999999999994,0.42831024301612547,0.0,全满足
离散开停机,W4P3,63,439038.83863287664,400368.84163287666,6968.870454490106,6355.06097829963,932.22,452.60400000000004,506.416,26.80000000000001,0.0,425.80400000000003,425.80400000000003,0.0,0.9407870898180307,0.45676342494261013,0.059212910181969246,是,是,是,是,是,0.8815741796360617,0.45676342494261013,0.059212910181969246,全满足
离散开停机,W4P3,54,345471.5947328767,306801.5977328767,6397.622124682902,5681.511069127347,807.72,452.60400000000004,414.7718,59.6558,0.0,392.94820000000004,392.94820000000004,0.0,0.8681942713718837,0.4864906155598475,0.1318057286281164,是,是,是,是,是,0.7363885427437672,0.4864906155598475,0.1318057286281164,全满足
离散开停机,W4P3,45,258378.9895328767,219708.9925328767,5741.755322952816,4882.422056286149,683.22,452.60400000000004,338.84219999999993,108.2262,0.0,344.3778000000001,344.37780000000004,5.684341886080802e-14,0.760881035077021,0.5040511109159568,0.23911896492297902,是,是,是,否,否,0.521762070154042,0.5040511109159568,0.23911896492297902,部分满足
离散开停机,W4P3,36,177516.4234328767,138846.4264328767,4931.011762024353,3856.8451786910196,558.72,452.60400000000004,272.58639999999997,166.47039999999998,0.0,286.13360000000006,286.13360000000006,0.0,0.6321941476434146,0.5121234249713632,0.36780585235658536,是,是,是,否,否,0.2643882952868292,0.5121234249713632,0.36780585235658536,部分满足
离散开停机,W4P4,72,582062.7746328769,543392.7776328769,8084.205203234401,7547.121911567734,1056.7199999999998,387.964,668.7560000000001,0.0,0.0,387.9639999999997,387.964,-2.8421709430404007e-13,1.0,0.36713982890453484,0.0,是,是,是,是,是,0.9999999999999992,0.36713982890453484,0.0,全满足
离散开停机,W4P4,63,474310.26173287677,435640.2647328768,7528.734313220266,6914.92483702979,932.22,387.964,561.1118000000001,16.8558,0.0,371.1081999999999,371.1082,-1.1368683772161603e-13,0.9565531853470941,0.39809079401857933,0.04344681465290594,是,是,是,是,是,0.9131063706941878,0.39809079401857933,0.04344681465290594,全满足
离散开停机,W4P4,54,373279.5365328768,334609.5395328768,6912.584009868088,6196.472954312533,807.72,387.964,469.30219999999997,49.5462,0.0,338.41780000000006,338.4178,5.684341886080802e-14,0.8722917590291883,0.4189791016688951,0.1277082409708117,是,是,是,是,是,0.7445835180583767,0.4189791016688951,0.1277082409708117,全满足
离散开停机,W4P4,45,281119.1705328767,242449.17353287668,6247.092678508371,5387.759411841704,683.22,387.964,380.97220000000004,85.7162,0.0,302.2478,302.2478,0.0,0.7790614593106576,0.4423872251983255,0.22093854068934232,是,是,是,否,否,0.5581229186213155,0.4423872251983255,0.22093854068934232,部分满足
离散开停机,W4P4,36,197712.1994328767,159042.2024328767,5492.00553980213,4417.838956468797,558.72,387.964,287.9464,117.1904,0.0,270.77360000000004,270.7736,5.684341886080802e-14,0.6979348599354579,0.4846320160366552,0.30206514006454205,是,是,是,否,否,0.39586971987091596,0.4846320160366552,0.30206514006454205,部分满足
离散开停机,W5P1,72,372829.90313287673,334159.90613287676,5178.193099067732,4641.109807401066,1056.7199999999998,819.4200000000001,395.9442,158.64419999999998,0.0,660.7757999999998,660.7758000000001,-3.410605131648481e-13,0.8063945229552612,0.625308312514195,0.19360547704473893,是,是,是,是,是,0.6127890459105219,0.625308312514195,0.19360547704473893,全满足
离散开停机,W5P1,63,272296.6070328767,233626.6100328767,4322.168365601217,3708.358889410741,932.22,819.4200000000001,305.30640000000005,192.50639999999999,0.0,626.9136,626.9136000000001,-1.1368683772161603e-13,0.765069927509702,0.6724953337195083,0.234930072490298,是,是,是,否,否,0.5301398550194039,0.6724953337195083,0.234930072490298,部分满足
离散开停机,W5P1,54,191210.2940328767,152540.2970328767,3540.931370979198,2824.8203154236426,807.7199999999999,819.4200000000001,222.3924,234.09239999999997,0.0,585.3275999999998,585.3276000000001,-2.2737367544323206e-13,0.7143193966464084,0.7246664685782204,0.2856806033535915,是,是,是,否,否,0.42863879329281673,0.7246664685782204,0.2856806033535915,部分满足
