场景编号,日产氨量(吨),delta_unit_cost,delta_buy,delta_sell,delta_R_self,delta_R_green,delta_R_sell
W4P1,36,3.5967750000015712,0.5641999999999996,0.5641999999999143,-0.0006433852876644996,-0.0010098081328749897,0.0006433852876644996
W4P2,72,0.0,0.0,0.0,0.0,0.0,0.0
W4P2,63,-165.75244285714143,-30.162199999999984,-30.162200000000006,0.04877741912530509,0.03235523803394058,-0.048777419125304845
W4P2,54,-293.6805777777772,-63.67360000000005,-63.67360000000002,0.1029710655859657,0.07883127816570112,-0.10297106558596558
W4P2,45,-120.09275999999954,-23.547600000000017,-23.547600000000045,0.038080483339909876,0.034465618687977484,-0.038080483339909876
W4P2,36,3.5967749999986154,0.5641999999999996,0.5642000000000849,-0.0009124075787078079,-0.0010098081328752118,0.0009124075787078079
W4P3,72,0.0,0.0,0.0,0.0,0.0,0.0
W4P3,63,-180.5809523809503,-26.799999999999898,-26.80000000000001,0.05921291018196928,0.02874857866168934,-0.059212910181969246
W4P3,54,-461.10237222221986,-59.655799999999886,-59.6558,0.13180572862811635,0.07385702966374474,-0.1318057286281164
W4P3,45,-631.9382866666656,-108.22619999999989,-108.2262,0.23911896492297902,0.15840607710547117,-0.23911896492297902
W4P3,36,-439.79849999999897,-68.98799999999997,-68.988,0.15242463610573476,0.12347508591065293,-0.15242463610573478
W4P4,72,0.0,0.0,0.0,0.0,0.0,0.0
W4P4,63,-113.57598571428662,-16.85580000000016,-16.8558,0.043446814652905896,0.01808135418677992,-0.04344681465290594
W4P4,54,-389.48818333333384,-49.546199999999885,-49.5462,0.12770824097081168,0.061340811172188425,-0.1277082409708117
W4P4,45,-437.15261999999893,-85.71620000000007,-85.7162,0.22093854068934238,0.1254591493223267,-0.22093854068934232
W4P4,36,-537.7185,-84.34799999999998,-84.348,0.2174119248177666,0.15096649484536084,-0.21741192481776658
W5P1,72,0.0,0.0,0.0,0.0,0.0,0.0
W5P1,63,-123.35515714285793,-33.86220000000014,-33.86219999999997,0.04132459544555911,0.036324258222308226,-0.041324595445559026
W5P1,54,-40.97935000000052,-9.642200000000003,-9.642199999999917,0.01176710356105537,0.011937552617243496,-0.011767103561055314
W5P1,45,0.0,0.0,0.0,0.0,0.0,0.0
W5P1,36,1.5916157281026244e-12,0.0,-1.1368683772161603e-13,1.6653345369377348e-16,2.220446049250313e-16,-1.1102230246251565e-16
W5P2,72,0.0,0.0,0.0,0.0,0.0,0.0
W5P2,63,-122.56958571428731,-25.542200000000093,-25.54220000000005,0.045541133259636934,0.02739932633927611,-0.04554113325963709
W5P2,54,-234.3371500000003,-47.03380000000004,-47.03380000000005,0.08386014335128211,0.05823032734115796,-0.08386014335128206
W5P2,45,-177.89082000000053,-26.77619999999999,-26.776199999999875,0.04774132582106039,0.03919118292790036,-0.047741325821060304
W5P2,36,-43.6815000000006,-6.852000000000004,-6.851999999999975,0.01221695253717503,0.01226374570446731,-0.01221695253717503
W5P3,72,0.0,0.0,0.0,0.0,0.0,0.0
W5P3,63,-159.16863333333367,-23.622199999999793,-23.62220000000002,0.05978790179701343,0.025339726673961116,-0.05978790179701347
W5P3,54,-469.7153333333299,-63.96799999999968,-63.96800000000001,0.16190331561629967,0.079195760907245,-0.1619033156162997
W5P3,45,-666.9986266666674,-100.84360000000004,-100.8436,0.2552356365477094,0.14760048007962295,-0.2552356365477094
W5P3,36,-598.1535000000003,-93.82800000000006,-93.82799999999997,0.23747911921032638,0.16793384879725087,-0.23747911921032644
W5P4,72,0.0,0.0,0.0,0.0,0.0,0.0
W5P4,63,-150.54387142857195,-22.342200000000048,-22.3422,0.06760939296737878,0.023966660230417713,-0.06760939296737882
W5P4,54,-419.3195555555558,-55.672000000000025,-55.672000000000004,0.1684681958482117,0.06892487495666816,-0.16846819584821163
