运行模式,场景编号,日产氨量(吨),硬约束可行,软约束违规度,吨氨成本(元/吨)
连续调节,W4P2,36,否,0.25141567102871465,3303.7270398021296
连续调节,W4P3,72,是,0.0,7535.694981012177
连续调节,W4P3,63,是,0.0,6788.289502109155
连续调节,W4P3,54,是,0.0,5936.519752460682
连续调节,W4P3,45,是,0.0,5109.81703628615
连续调节,W4P3,36,否,0.015381216250850566,4491.213262024354
连续调节,W4P4,72,是,0.0,8084.205203234401
连续调节,W4P4,63,是,0.0,7415.158327505979
连续调节,W4P4,54,是,0.0,6523.095826534754
连续调节,W4P4,45,是,0.0,5809.940058508372
连续调节,W4P4,36,是,0.0,4954.2870398021305
连续调节,W5P1,72,是,0.0,5178.193099067732
连续调节,W5P1,63,是,0.0,4198.813208458359
连续调节,W5P1,54,否,0.0739134997925362,3499.9520209791976
连续调节,W5P1,45,否,0.2517004710648994,2820.885758508372
连续调节,W5P1,36,否,0.5555739425447264,1802.2863648021328
连续调节,W5P2,72,是,0.0,6450.764153234399
连续调节,W5P2,63,是,0.0,5597.904746553597
连续调节,W5P2,54,是,0.0,4852.549982090308
连续调节,W5P2,45,是,0.0,4291.614291841704
连续调节,W5P2,36,否,0.21649680847270286,3640.697031468797
连续调节,W5P3,72,是,0.0,7797.324281012177
连续调节,W5P3,63,是,0.0,7087.294416394868
连续调节,W5P3,54,是,0.0,6306.823263571796
连续调节,W5P3,45,是,0.0,5554.1812496194825
连续调节,W5P3,36,是,0.0,4828.183253691019
连续调节,W5P4,72,是,0.0,8345.834503234399
连续调节,W5P4,63,是,0.0,7714.1632417916935
连续调节,W5P4,54,是,0.0,6890.2591154236425
连续调节,W5P4,45,是,0.0,6254.304271841705
连续调节,W5P4,36,是,0.0,5300.372006468798
连续调节,W6P1,72,是,0.0,5513.102446289955
连续调节,W6P1,63,是,0.0,4576.341986236139
连续调节,W6P1,54,否,0.011280596848105423,3917.42676171994
连续调节,W6P1,45,否,0.18522158265340327,3321.855447397261
连续调节,W6P1,36,否,0.5183251369174021,2428.498475913244
连续调节,W6P2,72,是,0.0,7036.6737254566215
连续调节,W6P2,63,是,0.0,6217.979495759947
连续调节,W6P2,54,是,0.0,5539.362522831048
连续调节,W6P2,45,是,0.0,4792.583980730593
连续调节,W6P2,36,否,0.14065223097112883,4266.909142579907
连续调节,W6P3,72,否,0.024203194791430016,8441.310169901066
连续调节,W6P3,63,是,0.0,7823.278289410742
连续调节,W6P3,54,是,0.0,7035.500004312531
连续调节,W6P3,45,是,0.0,6428.593338508371
连续调节,W6P3,36,是,0.0,5518.233339802131
连续调节,W6P4,72,否,0.08537360890302059,8989.820392123287
连续调节,W6P4,63,否,0.05670978953465919,8450.147114807569
连续调节,W6P4,54,否,0.019209627098499438,7730.582745053273
连续调节,W6P4,45,是,0.0,7141.45722739726
连续调节,W6P4,36,是,0.0,6409.313200913242
