scenario_id,capacity_basis_method,wind_cap_MW,pv_cap_MW,E_cap_MWh,P_cap_MW,daily_NH3_t,avg_rate_tph,shortfall_to_72_t,curtail_MWh,unserved_base_MWh,storage_charge_MWh,storage_discharge_MWh,storage_recovered_MWh,delta_NH3_t,curtail_reduction_MWh,max_SOC_MWh,daily_total_cost,offgrid_unit_cost
W3P3,max_curtailment_original_capacity,40.0,64.0,10.0,2.5,21.383132530120484,0.8909638554216869,50.616867469879516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91698.49260053915,4288.356370207769
W3P4,max_curtailment_original_capacity,40.0,64.0,10.0,2.5,16.710361445783132,0.6962650602409638,55.289638554216864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76149.0680222259,4556.99706252866
W4P1,max_curtailment_original_capacity,40.0,64.0,10.0,2.5,47.09055671716884,1.9621065298820348,24.909443282831162,161.76962500720873,0.0,15.0,11.984992928044381,11.984992928044381,0.6041326207832896,11.936374992791258,10.0,200050.90700314014,4248.217072579292
W4P2,max_curtailment_original_capacity,40.0,64.0,10.0,2.5,40.09332947042985,1.6705553946012437,31.90667052957015,1.3821999999999974,0.0,8.358000000000011,6.720591007613024,6.720591007613024,0.4450403138033465,8.358000000000011,7.49935038530737,157288.24436466175,3923.052698346417
W4P3,max_curtailment_original_capacity,40.0,64.0,10.0,2.5,28.31929596953836,1.1799706653974316,43.68070403046164,0.0,0.0,0.6979390880526496,0.5642000000000009,0.5642000000000009,-0.050453428052001925,4.440892098500626e-15,0.6281451792473847,117685.2805538889,4155.657000812344
W4P4,max_curtailment_original_capacity,40.0,64.0,10.0,2.5,23.64652488520101,0.9852718702167088,48.35347511479899,0.0,0.0,0.6979390880526496,0.5642000000000009,0.5642000000000009,-0.05045342805199837,8.881784197001252e-16,0.6281451792473847,102135.85597557563,4319.2755160187
W5P1,max_curtailment_original_capacity,40.0,64.0,10.0,2.5,44.0251066794321,1.8343794449763375,27.9748933205679,146.2590958565488,0.0,17.38510414345116,13.958175732144,13.958175732144,0.647578968588725,12.385104143451173,10.0,186337.00919830898,4232.516926196637
W5P2,max_curtailment_original_capacity,40.0,64.0,10.0,2.5,35.75102181217292,1.4896259088405384,36.24897818782708,4.562400000000004,0.0,5.288000000000004,4.266201735058777,4.266201735058777,0.3084001254259334,5.288000000000007,4.753664236800004,141390.42262657525,3954.8638181421993
W5P3,max_curtailment_original_capacity,40.0,64.0,10.0,2.5,24.172048192771083,1.0071686746987951,47.827951807228914,0.0,0.0,0.0,0.0,0.0,0.0,1.7763568394002505e-15,0.0,102136.47428728612,4225.395939671805
W5P4,max_curtailment_original_capacity,40.0,64.0,10.0,2.5,19.499277108433734,0.8124698795180723,52.50072289156627,0.0,0.0,0.0,0.0,0.0,0.0,1.7763568394002505e-15,0.0,86587.04970897287,4440.526139890728
