scenario_id,wind_scenario,pv_scenario,Q_day,H_on,total_cost,incremental_total_cost,unit_cost,incremental_unit_cost,E_load,E_re,E_buy,E_sell,E_curtail,E_self,R_self,R_green,R_sell,class,pass_self,pass_green,pass_green_2030,pass_sell,on_hours
W2P2,2,2,45,15,248728.39953287673,210058.40253287673,5527.297767397261,4667.964500730594,683.22,400.34400000000005,351.27419999999995,68.3982,0.0,331.9458000000001,0.8291514297703976,0.4858549222797928,0.17084857022960254,全满足,True,True,True,True,0 1 2 3 4 5 6 9 11 12 13 14 15 16 23
W2P2,2,2,36,12,172647.34053287667,133977.34353287666,4795.759459246574,3721.5928759132407,558.72,400.34400000000005,298.45219999999995,140.07620000000003,0.0,260.2678,0.6501104050516555,0.46582867983963344,0.34988959494834443,部分满足,True,True,True,False,0 1 2 3 4 5 6 12 13 14 15 23
W2P3,2,3,72,24,631468.5266328767,592798.5296328767,8770.396203234399,8233.312911567733,1056.7199999999998,234.584,822.136,0.0,0.0,234.584,1.0,0.22199258081611029,0.0,部分满足,True,False,False,True,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
W2P3,2,3,63,21,519779.37053287675,481109.3735328768,8250.466198934551,7636.6567227440755,932.22,234.584,705.2182,7.5822,0.0,227.0018,0.9676781025133854,0.24350668297183067,0.032321897486614605,部分满足,True,False,False,True,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 21 22 23
W2P3,2,3,54,18,420066.9725328768,381396.97553287685,7779.018009868089,7062.906954312534,807.72,234.584,616.5142000000001,43.3782,0.0,191.2058,0.8150845752480987,0.23672287426335858,0.18491542475190123,部分满足,True,False,False,True,0 1 2 3 4 5 6 7 8 9 13 14 15 16 17 21 22 23
W2P3,2,3,45,15,327868.1414328767,289198.1444328767,7285.9586985083715,6426.625431841705,683.22,234.584,526.4464,77.8104,0.0,156.7736,0.6683047437165365,0.22946283773894205,0.33169525628346347,部分满足,True,False,False,False,0 1 2 3 4 5 6 7 8 9 15 16 17 22 23
W2P3,2,3,36,12,239544.7754328767,200874.7784328767,6654.02153980213,5579.854956468796,558.72,234.584,411.99839999999995,87.86240000000002,0.0,146.72159999999997,0.6254544214439176,0.2626030927835051,0.37454557855608234,部分满足,True,False,False,False,0 1 2 3 4 5 6 9 15 16 17 23
W2P4,2,4,72,24,670961.2626328768,632291.2656328768,9318.906425456622,8781.823133789956,1056.7199999999998,169.94400000000002,886.776,0.0,0.0,169.94400000000002,1.0,0.16082216670451968,0.0,部分满足,True,False,False,True,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
W2P4,2,4,63,21,557477.9997328767,518808.0027328767,8848.85713861709,8235.047662426614,932.22,169.94400000000002,765.6318,3.3558,0.0,166.58820000000003,0.9802534952690298,0.17870052133616532,0.0197465047309702,部分满足,True,False,False,True,0 1 2 3 4 5 6 7 8 9 12 13 14 15 16 17 18 19 21 22 23
W2P4,2,4,54,18,447605.78853287676,408935.7915328768,8288.996083942162,7572.885028386607,807.72,169.94400000000002,652.9942,15.2182,0.0,154.72580000000002,0.9104516781998776,0.1915587084633289,0.08954832180012239,部分满足,True,False,False,True,0 1 2 3 4 5 6 7 8 9 13 14 15 16 17 21 22 23
W2P4,2,4,45,15,349973.3574328767,311303.36043287674,7777.185720730594,6917.852454063927,683.22,169.94400000000002,550.1264,36.8504,0.0,133.0936,0.7831615120274914,0.19480343081291532,0.21683848797250857,部分满足,True,False,False,False,0 1 2 3 4 5 6 7 8 9 15 16 17 22 23
W2P4,2,4,36,12,259793.38233287673,221123.38533287673,7216.48284257991,6142.316259246576,558.72,169.94400000000002,427.5886,38.812599999999996,0.0,131.1314,0.7716153556465659,0.23469967067583047,0.22838464435343403,部分满足,True,False,False,False,0 1 2 3 4 5 6 7 15 16 17 23
W3P1,3,1,72,24,380328.03313287674,341658.03613287676,5282.333793512177,4745.25050184551,1056.7199999999998,780.8399999999999,402.2482,126.36819999999997,0.0,654.4717999999999,0.8381637723477281,0.6193426830191536,0.1618362276522719,全满足,True,True,True,True,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
W3P1,3,1,63,21,279660.59503287676,240990.59803287676,4439.057064013917,3825.247587823441,932.22,780.8399999999999,311.2944,159.9144,0.0,620.9255999999999,0.7952020900568618,0.6660719572633068,0.20479790994313818,部分满足,True,True,True,False,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 21 22 23
W3P1,3,1,54,18,198908.43403287674,160238.43703287674,3683.489519127347,2967.3784635717916,807.7199999999999,780.8399999999999,229.83640000000003,202.95640000000003,0.0,577.8835999999999,0.7400794016699963,0.7154504036052096,0.25992059833000364,部分满足,True,True,True,False,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 23
W3P1,3,1,45,15,135356.7931328767,96686.79613287668,3007.9287362861487,2148.5954696194817,683.22,780.8399999999999,223.32620000000003,320.94620000000003,0.0,459.8937999999999,0.5889731571128527,0.673126957641755,0.41102684288714725,部分满足,False,True,True,False,0 1 2 3 4 5 6 10 11 12 13 14 15 16 23
W3P1,3,1,36,12,73299.2431328767,34629.2461328767,2036.0900870243527,961.9235036910195,558.72,780.8399999999999,223.32620000000003,445.44620000000003,0.0,335.3937999999999,0.42952948107166633,0.6002895904925541,0.5704705189283337,部分满足,False,True,True,False,0 1 2 3 4 5 6 13 14 15 16 23
W3P2,3,2,72,24,479823.91303287674,441153.91603287676,6664.22101434551,6127.137722678844,1056.7199999999998,522.28,538.1664,3.7264000000000053,0.0,518.5536,0.9928651298154246,0.4907199636611402,0.007134870184575334,全满足,True,True,True,True,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
W3P2,3,2,63,21,375624.63493287674,336954.63793287677,5962.295792585345,5348.486316394869,932.22,522.28,438.8926,28.95260000000001,0.0,493.32739999999995,0.9445649842996093,0.5291963270472635,0.05543501570039062,全满足,True,True,True,True,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 21 22 23
W3P2,3,2,54,18,290067.1111328767,251397.1141328767,5371.613169127347,4655.502113571791,807.72,522.28,336.49620000000004,51.05620000000001,0.0,471.2238,0.902243624109673,0.583399940573466,0.09775637589032705,全满足,True,True,True,True,0 1 2 3 4 5 6 8 9 10 11 12 13 14 15 16 17 23
W3P2,3,2,45,15,212279.70103287674,173609.70403287673,4717.326689619483,3857.993422952816,683.22,522.28,278.0304,117.09040000000002,0.0,405.1895999999999,0.7758091445201807,0.5930587512075172,0.2241908554798193,部分满足,True,True,True,False,0 1 2 3 4 5 6 9 11 12 13 14 15 16 23
W3P2,3,2,36,12,141740.4160328767,103070.4190328767,3937.2337786910193,2863.067195357686,558.72,522.28,245.10040000000004,208.6604,0.0,313.6196,0.6004817339358198,0.5613180126002291,0.39951826606418017,部分满足,True,True,True,False,0 1 2 3 4 5 6 12 13 14 15 23
W3P3,3,3,72,24,579375.8802328767,540705.8832328768,8046.887225456621,7509.803933789955,1056.7199999999998,356.52000000000004,700.1999999999999,0.0,0.0,356.52000000000004,1.0,0.33738360208948454,0.0,全满足,True,True,False,True,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
W3P3,3,3,63,21,474361.5621328768,435691.5651328768,7529.548605283759,6915.739129093283,932.22,356.52000000000004,599.0062,23.306200000000004,0.0,333.21380000000005,0.9346286323347919,0.3574411619574779,0.06537136766520812,全满足,True,True,True,True,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 21 22 23
W3P3,3,3,54,18,379735.4382328767,341065.44123287674,7032.137745053273,6316.026689497718,807.72,356.52000000000004,522.2840000000001,71.084,0.0,285.43600000000004,0.8006170761808594,0.35338483632942114,0.19938292381914058,全满足,True,True,True,True,0 1 2 3 4 5 6 7 8 9 12 13 15 16 17 21 22 23
W3P3,3,3,45,15,291614.82423287665,252944.82723287665,6480.329427397259,5620.996160730592,683.22,356.52000000000004,427.13,100.43,0.0,256.09000000000003,0.7183047234376753,0.3748280202570183,0.2816952765623247,部分满足,True,True,True,False,0 1 2 3 4 5 6 7 8 9 13 15 16 17 23
