mode,scenario_id,Q_day,M_self,M_green,M_green_2030,M_sell,min_policy_margin,violation_score
discrete,W2P2,63,0.37626491217552904,0.11925918774538202,0.06925918774538203,0.17626491217552906,0.11925918774538202,0.0
discrete,W2P2,54,0.35619767000379676,0.17393651265289956,0.12393651265289957,0.15619767000379675,0.15619767000379675,0.0
discrete,W2P2,45,0.2291514297703976,0.18585492227979283,0.13585492227979284,0.029151429770397475,0.029151429770397475,0.0
discrete,W2P2,36,0.05011040505165554,0.16582867983963345,0.11582867983963346,-0.14988959494834442,-0.14988959494834442,0.14988959494834442
discrete,W2P3,72,0.4,-0.0780074191838897,-0.1280074191838897,0.2,-0.0780074191838897,0.0780074191838897
discrete,W2P3,63,0.3676781025133854,-0.056493317028169315,-0.1064933170281693,0.1676781025133854,-0.056493317028169315,0.056493317028169315
discrete,W2P3,54,0.21508457524809876,-0.0632771257366414,-0.1132771257366414,0.01508457524809878,-0.0632771257366414,0.0632771257366414
discrete,W2P3,45,0.0683047437165365,-0.07053716226105794,-0.12053716226105793,-0.13169525628346346,-0.13169525628346346,0.2022324185445214
discrete,W2P3,36,0.02545442144391763,-0.03739690721649491,-0.0873969072164949,-0.17454557855608233,-0.17454557855608233,0.21194248577257724
discrete,W2P4,72,0.4,-0.1391778332954803,-0.1891778332954803,0.2,-0.1391778332954803,0.1391778332954803
discrete,W2P4,63,0.38025349526902985,-0.12129947866383467,-0.17129947866383466,0.1802534952690298,-0.12129947866383467,0.12129947866383467
discrete,W2P4,54,0.3104516781998776,-0.10844129153667109,-0.15844129153667108,0.11045167819987763,-0.10844129153667109,0.10844129153667109
discrete,W2P4,45,0.18316151202749142,-0.10519656918708467,-0.15519656918708466,-0.01683848797250856,-0.10519656918708467,0.12203505715959323
discrete,W2P4,36,0.17161535564656594,-0.06530032932416951,-0.1153003293241695,-0.02838464435343402,-0.06530032932416951,0.09368497367760353
discrete,W3P1,72,0.23816377234772812,0.31934268301915364,0.26934268301915365,0.03816377234772811,0.03816377234772811,0.0
discrete,W3P1,63,0.19520209005686184,0.3660719572633068,0.31607195726330684,-0.004797909943138168,-0.004797909943138168,0.004797909943138168
discrete,W3P1,54,0.14007940166999633,0.41545040360520963,0.36545040360520964,-0.05992059833000363,-0.05992059833000363,0.05992059833000363
discrete,W3P1,45,-0.011026842887147281,0.373126957641755,0.32312695764175503,-0.21102684288714724,-0.21102684288714724,0.22205368577429452
discrete,W3P1,36,-0.17047051892833365,0.30028959049255416,0.25028959049255417,-0.37047051892833366,-0.37047051892833366,0.5409410378566673
discrete,W3P2,72,0.39286512981542465,0.1907199636611402,0.1407199636611402,0.19286512981542467,0.1907199636611402,0.0
discrete,W3P2,63,0.34456498429960936,0.2291963270472635,0.17919632704726352,0.1445649842996094,0.1445649842996094,0.0
discrete,W3P2,54,0.302243624109673,0.283399940573466,0.23339994057346602,0.10224362410967296,0.10224362410967296,0.0
discrete,W3P2,45,0.1758091445201807,0.2930587512075172,0.2430587512075172,-0.02419085547981928,-0.02419085547981928,0.02419085547981928
discrete,W3P2,36,0.00048173393581985025,0.2613180126002291,0.2113180126002291,-0.19951826606418016,-0.19951826606418016,0.19951826606418016
discrete,W3P3,72,0.4,0.03738360208948455,-0.012616397910515442,0.2,0.03738360208948455,0.0
discrete,W3P3,63,0.3346286323347919,0.05744116195747789,0.007441161957477904,0.1346286323347919,0.05744116195747789,0.0
discrete,W3P3,54,0.20061707618085944,0.05338483632942115,0.003384836329421159,0.0006170761808594327,0.0006170761808594327,0.0
discrete,W3P3,45,0.11830472343767529,0.07482802025701829,0.0248280202570183,-0.08169527656232467,-0.08169527656232467,0.08169527656232467
discrete,W3P3,36,-0.0013693481431616972,0.08198704180985106,0.03198704180985107,-0.2013693481431617,-0.2013693481431617,0.2027386962863234
discrete,W3P4,72,0.4,-0.023786812022106085,-0.07378681202210607,0.2,-0.023786812022106085,0.023786812022106085
discrete,W3P4,63,0.3426757571604768,-0.0048462809208126845,-0.05484628092081267,0.14267575716047692,-0.0048462809208126845,0.0048462809208126845
discrete,W3P4,54,0.24835480334383997,0.006563908285049269,-0.04343609171495072,0.04835480334383993,0.006563908285049269,0.0
discrete,W3P4,45,0.13731602028230783,0.014990486226983957,-0.03500951377301603,-0.06268397971769218,-0.06268397971769218,0.06268397971769218
discrete,W3P4,36,0.07115801014115386,0.05061855670103088,0.0006185567010308923,-0.12884198985884615,-0.12884198985884615,0.12884198985884615
