mode,scenario,target_tpd,total_cost_yuan,ton_cost_yuan_per_t,E_load_MWh,E_RE_MWh,E_buy_MWh,E_sell_MWh,E_curtail_MWh,E_self_supply_MWh,E_self_use_MWh,balance_gap_MWh,self_use_gen_ratio,green_load_ratio,sell_ratio,is_all_qualified,statement_self_use_ratio,statement_green_load_ratio,statement_sell_ratio,class_metering
discrete,W1P4,72,627256.2186328768,8711.89192545662,1056.7199999999998,272.804,783.9159999999999,0.0,0.0,272.80399999999986,272.804,-1.1368683772161603e-13,1.0,0.2581611022787493,0.0,False,0.9999999999999996,0.2581611022787494,0.0,部分满足
discrete,W1P4,63,516307.3905328767,8195.355405283757,932.22,272.804,668.7422000000001,9.3262,0.0,263.4777999999999,263.4778,-1.1368683772161603e-13,0.9658135511209514,0.28263478578018053,0.034186448879048696,False,0.9316271022419024,0.28263478578018064,0.034186448879048696,部分满足
discrete,W1P4,54,410355.60663287673,7599.177900608828,807.72,272.804,565.34,30.424,0.0,242.38,242.37999999999997,2.842170943040401e-14,0.8884767085526605,0.30007923537859654,0.1115232914473395,True,0.7769534171053212,0.3000792353785965,0.1115232914473395,全满足
discrete,W1P4,45,316717.24653287674,7038.161034063927,683.22,272.804,472.82820000000004,62.4122,0.0,210.3918,210.3918,0.0,0.7712196302107007,0.3079415122508123,0.2287803697892993,False,0.5424392604214016,0.3079415122508123,0.2287803697892993,部分满足
discrete,W1P4,36,229052.59143287668,6362.571984246574,558.72,272.804,361.2504,75.33439999999999,0.0,197.4696,197.46959999999999,2.842170943040401e-14,0.7238515564287914,0.3534321305841924,0.2761484435712086,False,0.44770311285758296,0.35343213058419237,0.2761484435712086,部分满足
discrete,W2P1,72,420187.3116328767,5835.934883789954,1056.7199999999998,658.904,487.428,89.61199999999998,0.0,569.2919999999998,569.292,-2.2737367544323206e-13,0.8639983973386108,0.5387349534408357,0.1360016026613892,True,0.7279967946772213,0.5387349534408359,0.1360016026613892,全满足
discrete,W2P1,63,312845.03553287673,4965.794214807567,932.22,658.904,380.75020000000006,107.43419999999998,0.0,551.4698,551.4698000000001,-1.1368683772161603e-13,0.8369501475176961,0.5915661539121666,0.16304985248230391,True,0.6739002950353922,0.5915661539121667,0.16304985248230391,全满足
discrete,W2P1,54,228721.5654328767,4235.584545053272,807.7199999999999,658.904,284.6023999999999,135.7864,0.0,523.1176,523.1176,0.0,0.7939208139577238,0.647647204476799,0.20607918604227624,False,0.5878416279154476,0.647647204476799,0.20607918604227624,部分满足
discrete,W2P1,45,161765.10843287667,3594.7801873972594,683.22,658.904,263.25639999999987,238.94039999999998,0.0,419.96360000000016,419.96360000000004,1.1368683772161603e-13,0.6373669001857631,0.6146828254442203,0.36263309981423697,False,0.27473380037152634,0.61468282544422,0.36263309981423697,部分满足
discrete,W2P1,36,99707.55843287663,2769.6544009132394,558.72,658.904,263.2563999999997,363.4404,0.0,295.4636000000003,295.4636,3.410605131648481e-13,0.4484167648094411,0.5288223081328757,0.5515832351905589,False,-0.10316647038111726,0.5288223081328751,0.5515832351905589,部分满足
discrete,W2P2,72,530334.7026328767,7365.7597587899545,1056.7199999999998,400.34400000000005,656.376,0.0,0.0,400.3439999999998,400.34400000000005,-2.2737367544323206e-13,1.0,0.37885532591414933,0.0,True,0.9999999999999994,0.37885532591414955,0.0,全满足
discrete,W2P2,63,419460.58653287677,6658.104548140901,932.22,400.34400000000005,541.3782,9.5022,0.0,390.84180000000003,390.84180000000003,0.0,0.976264912175529,0.419259187745382,0.023735087824470952,True,0.952529824351058,0.419259187745382,0.023735087824470952,全满足
discrete,W2P2,54,330674.0436328767,6123.593400608828,807.72,400.34400000000005,424.91200000000003,17.536,0.0,382.808,382.80800000000005,-5.684341886080802e-14,0.9561976700037967,0.4739365126528995,0.04380232999620326,True,0.9123953400075931,0.47393651265289954,0.04380232999620326,全满足
discrete,W2P2,45,248728.39953287673,5527.297767397261,683.22,400.34400000000005,351.27419999999995,68.3982,0.0,331.9458000000001,331.9458000000001,0.0,0.8291514297703976,0.4858549222797928,0.17084857022960254,True,0.658302859540795,0.4858549222797928,0.17084857022960254,全满足
