scenario_id,wind_scenario,pv_scenario,Q_day,total_cost,incremental_total_cost,unit_cost,incremental_unit_cost,E_load,E_re,E_buy,E_sell,E_curtail,E_self,R_self,R_green,R_sell,class,pass_self,pass_green,pass_green_2030,pass_sell,rate_vector,on_hours
W2P2,2,2,63,429993.402632876,391323.405632876,6825.29210528375,6211.48262909328,932.22,400.344,531.876,0,0,400.344,1,0.429452275214005,0,全满足,1,1,1,1,3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 2.1 0.3 0.3 0.3 3,
W2P2,2,2,54,360901.602632877,322231.605632877,6683.36301171994,5967.25195616438,807.72,400.344,407.376,0,0,400.344,1,0.495647006388352,0,全满足,1,1,1,1,0.3 3 3 3 3 3 1.2 3 3 3 3 3 3 3 3 3 3 3 3 0.3 0.3 0.3 0.3 0.3,
W2P2,2,2,45,277885.930732877,239215.933732877,6175.24290517504,5315.90963850837,683.22,400.344,294.6278,11.7518,0,388.5922,0.970645744659593,0.568765844091215,0.0293542553404073,全满足,1,1,1,1,0.3 0.3 3 3 3 3 0.3 0.3 3 3 3 3 3 3 3 3 3 3 0.3 0.3 0.3 0.3 0.3 0.3,
W2P2,2,2,36,219792.317832877,181122.320832877,6105.34216202436,5031.17557869102,558.72,400.344,182.9676,24.5916,0,375.7524,0.938573826509202,0.672523625429553,0.0614261734907979,全满足,1,1,1,1,0.3 0.3 0.3 2.1 0.3 0.3 0.3 0.3 3 3 3 3 3 3 3 3 3 3 0.3 0.3 0.3 0.3 0.3 0.3,
W2P3,2,3,72,631468.526632876,592798.529632876,8770.39620323439,8233.31291156773,1056.72,234.584,822.136,0,0,234.584,1,0.22199258081611,0,部分满足,1,0,0,1,3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3,
W2P3,2,3,63,531127.226632877,492457.229632877,8430.59089893455,7816.78142274407,932.22,234.584,697.636,0,0,234.584,1,0.251640170775139,0,部分满足,1,0,0,1,3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 2.1 0.3 0.3 0.3 3,
W2P3,2,3,54,452137.676632877,413467.679632877,8372.91993764586,7656.80888209031,807.72,234.584,573.136,0,0,234.584,1,0.290427375823305,0,部分满足,1,0,0,1,1.2 3 3 3 3 3 3 3 0.3 3 3 3 3 3 3 3 3 3 3 0.3 0.3 0.3 0.3 0.3,
W2P3,2,3,45,358546.429732877,319876.432732877,7967.69843850837,7108.3651718417,683.22,234.584,452.4378,3.8018,0,230.7822,0.983793438597688,0.337786071836304,0.0162065614023122,全满足,1,1,0,1,0.3 3 3 3 3 3 3 0.3 0.3 0.3 3 3 3 3 3 3 3 3 0.3 0.3 0.3 0.3 0.3 0.3,
W2P3,2,3,36,282317.790732877,243647.793732877,7842.16085369102,6767.99427035769,558.72,234.584,336.0618,11.9258,0,222.6582,0.949161920676602,0.398514819587629,0.050838079323398,全满足,1,1,1,1,0.3 2.1 3 3 3 3 0.3 0.3 0.3 0.3 3 3 3 3 3 3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3,
W2P4,2,4,72,670961.262632876,632291.265632876,9318.90642545661,8781.82313378995,1056.72,169.944,886.776,0,0,169.944,1,0.16082216670452,0,部分满足,1,0,0,1,3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3,
W2P4,2,4,63,573047.712632876,534377.715632876,9095.99543861709,8482.18596242661,932.22,169.944,762.276,0,0,169.944,1,0.182300315376199,0,部分满足,1,0,0,1,3 3 3 3 3 3 3 3 3 2.1 3 3 3 3 3 3 3 3 3 3 0.3 0.3 0.3 3,
W2P4,2,4,54,470278.662632877,431608.665632877,8708.86412283105,7992.75306727549,807.72,169.944,637.776,0,0,169.944,1,0.210399643440796,0,部分满足,1,0,0,1,3 3 3 3 3 3 3 3 0.3 0.3 0.3 1.2 3 3 3 3 3 3 3 3 0.3 0.3 0.3 3,
W2P4,2,4,45,379835.112632877,341165.115632877,8440.7802807306,7581.44701406393,683.22,169.944,513.276,0,0,169.944,1,0.248739790989725,0,部分满足,1,0,0,1,3 3 3 3 3 3 3 3 0.3 0.3 0.3 0.3 3 3 3 3 0.3 3 3 0.3 0.3 0.3 0.3 0.3,
W2P4,2,4,36,291819.312632877,253149.315632877,8106.09201757991,7031.92543424658,558.72,169.944,388.776,0,0,169.944,1,0.304166666666667,0,全满足,1,1,0,1,0.3 3 3 3 3 3 3 2.1 0.3 0.3 0.3 0.3 3 3 3 3 0.3 0.3 0.3 0.3 0.3 0.3 0.3 0.3,
W3P1,3,1,72,380328.033132876,341658.036132876,5282.33379351217,4745.25050184551,1056.72,780.84,402.2482,126.3682,0,654.4718,0.838163772347728,0.619342683019154,0.161836227652272,全满足,1,1,1,1,3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3,
W3P1,3,1,63,286509.341232877,247839.344232877,4547.76732115677,3933.95784496629,932.22,780.84,280.18,128.8,0,652.04,0.835049433942933,0.699448628006265,0.164950566057067,全满足,1,1,1,1,3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 0.3 0.3 0.3 2.1,
W3P1,3,1,54,212639.920132877,173969.923132877,3937.77629875697,3221.66524320142,807.72,780.84,167.3722,140.4922,0,640.3478,0.820075559653706,0.792784380725994,0.179924440346294,全满足,1,1,1,1,0.3 3 3 3 3 1.2 3 3 3 3 3 3 3 3 3 3 3 3 3 0.3 0.3 0.3 0.3 0.3,
W3P1,3,1,45,153762.957132877,115092.960132877,3416.95460295282,2557.62133628615,683.22,780.84,77.7782,175.3982,0,605.4418,0.775372419445725,0.886159363016305,0.224627580554275,部分满足,1,1,1,0,0.3 0.3 0.3 3 0.3 0.3 3 3 3 3 3 3 3 3 3 3 3 3 3 0.3 0.3 0.3 0.3 0.3,
W3P1,3,1,36,82721.4141328768,44051.4171328768,2297.81705924658,1223.65047591324,558.72,780.84,6.5102,228.6302,0,552.2098,0.70719968239332,0.98834800973654,0.29280031760668,部分满足,1,1,1,0,0.3 0.3 0.3 0.3 0.3 0.3 0.3 3 3 3 3 3 3 3 3 3 3 2.1 0.3 0.3 0.3 0.3 0.3 0.3,
W3P2,3,2,72,479823.913032876,441153.916032876,6664.2210143455,6127.13772267884,1056.72,522.28,538.1664,3.72640000000001,0,518.5536,0.992865129815425,0.49071996366114,0.00713487018457533,全满足,1,1,1,1,3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3,
W3P2,3,2,63,386005.221132877,347335.224132877,6127.06700210915,5513.25752591868,932.22,522.28,416.0982,6.1582,0,516.1218,0.988209006663093,0.553648065907189,0.0117909933369074,全满足,1,1,1,1,3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 0.3 0.3 0.3 2.1,
