scenario_id,Q_day,unit_cost_reduction,buy_reduction_MWh,sell_reduction_MWh,self_ratio_gain,green_ratio_gain,sell_ratio_reduction
W2P4,36,-202.304780555558,18.9821999999998,18.9822,0.111696794238102,0.0339744415807559,0.111696794238102
W3P1,72,5.45696821063757e-12,3.97903932025656e-13,0,0,1.11022302462516e-16,0
W3P1,63,-7.01547619047324,12.4500000000003,12.45,0.0159443676041188,0.0133552165797775,0.0159443676041187
W3P1,54,-16.3694444444432,24.9000000000002,24.9,0.0318887352082372,0.0308275144852177,0.0318887352082373
W3P1,45,-21.7671799999985,27.5922,27.5922,0.0353365606270172,0.0403855273557565,0.0353365606270171
W3P1,36,34.9554722222206,24.06,24.0600000000001,0.0308129706469956,0.0430627147766323,0.0308129706469956
W3P2,72,5.45696821063757e-12,3.41060513164848e-13,0,0,1.11022302462516e-16,0
W3P2,63,-7.01547619047415,12.4500000000003,12.45,0.0238377881596079,0.0133552165797775,0.0238377881596079
W3P2,54,-16.3694444444427,24.9000000000003,24.9,0.0476755763192158,0.0308275144852177,0.0476755763192157
W3P2,45,147.44202,28.9102000000001,28.9102,0.0553538331929233,0.0423146277919263,0.0553538331929233
W3P2,36,-39.4860583333348,40.0422,40.0422,0.0766680707666385,0.0716677405498278,0.0766680707666386
W3P3,72,6.3664629124105e-12,4.54747350886464e-13,0,0,5.55111512312578e-17,0
W3P3,63,-7.01547619047506,12.4500000000003,12.45,0.0349209020531807,0.0133552165797773,0.0349209020531808
W3P3,54,-16.3694444444418,24.9000000000002,24.9,0.0698418041063614,0.0308275144852176,0.0698418041063615
W3P3,45,-23.7993577777779,30.1682,30.1682,0.0846185347245597,0.0441559087848716,0.0846185347245597
W3P3,36,422.933108333331,41.5861999999999,41.5862,0.116644788511163,0.0744311998854524,0.116644788511163
W3P4,72,7.27595761418343e-12,4.54747350886464e-13,0,0,5.55111512312578e-17,0
W3P4,63,83.889285714291,12.4500000000003,12.45,0.0426545155543375,0.0133552165797773,0.0426545155543374
W3P4,54,105.825000000003,24.9000000000002,24.9,0.0853090311086747,0.0308275144852176,0.0853090311086748
W3P4,45,164.688180000001,32.2918000000001,32.2918,0.110633822118679,0.0472641316120721,0.110633822118679
W3P4,36,188.701166666664,43.9759999999999,43.976,0.150664656708236,0.0787084765177546,0.150664656708236
W4P1,72,4.54747350886464e-12,4.54747350886464e-13,0,0,2.22044604925031e-16,0
W4P1,63,-9.07077619047413,11.8858000000003,11.8858,0.0135539681888054,0.0127499946364593,0.0135539681888054
W4P1,54,-18.7672944444425,24.3358000000002,24.3358,0.0277513216652755,0.0301290051007775,0.0277513216652754
W4P1,45,-20.4869977777767,21.7578,21.7578,0.0248115001984208,0.0318459646965836,0.0248115001984208
W4P1,36,18.4979749999984,4.7078,4.70779999999996,0.00536853820855632,0.0084260452462771,0.00536853820855626
W4P2,72,4.54747350886464e-12,4.54747350886464e-13,0,0,1.11022302462516e-16,0
W4P2,63,-9.07077619047323,11.8858000000002,11.8858,0.0192213647625025,0.0127499946364593,0.0192213647625023
W4P2,54,-18.767294444443,24.3358000000001,24.3358,0.0393551371037123,0.0301290051007774,0.0393551371037124
W4P2,45,-21.3407333333325,22.84,22.84,0.0369361735159227,0.0334299347208806,0.0369361735159227
W4P2,36,101.603366666665,30.3135999999999,30.3136,0.0490222587343376,0.0542554410080182,0.0490222587343377
W4P3,72,5.45696821063757e-12,4.54747350886464e-13,0,0,5.55111512312578e-17,0
W4P3,63,-9.07077619047413,11.8858000000002,11.8858,0.0262609256657034,0.0127499946364593,0.0262609256657033
W4P3,54,-18.7672944444439,24.3358000000002,24.3358,0.053768415656954,0.0301290051007775,0.053768415656954
W4P3,45,256.558113333336,26.9378,26.9378,0.059517370593278,0.0394277099616522,0.059517370593278
W4P3,36,52.6928333333308,35.2899999999999,35.29,0.0779710298627497,0.063162227949599,0.0779710298627498
W4P4,72,4.54747350886464e-12,4.54747350886464e-13,0,0,5.55111512312578e-17,0
W4P4,63,81.8339857142901,11.8858000000004,11.8858,0.0306363477023642,0.0127499946364592,0.0306363477023641
W4P4,54,193.343816666667,24.3358000000001,24.3358,0.0627269540472827,0.0301290051007774,0.0627269540472827
W4P4,45,269.027093333334,28.2596,28.2596,0.0728407790413543,0.0413623722958928,0.0728407790413544
W4P4,36,254.845724999997,39.9757999999999,39.9758,0.10303997278098,0.0715488974799541,0.10303997278098
W5P1,72,4.54747350886464e-12,3.97903932025656e-13,0,0,1.11022302462516e-16,0
W5P1,63,-7.01547619047415,12.4500000000003,12.45,0.0151936735739913,0.0133552165797773,0.0151936735739914
W5P1,54,-16.3694444444432,24.9000000000001,24.9,0.0303873471479826,0.0308275144852176,0.0303873471479827
W5P1,45,-21.2272644444442,26.9078,26.9078,0.0328376168509433,0.0393838002400396,0.0328376168509434
W5P1,36,64.2666388888879,24.016,24.0160000000001,0.0293085353054601,0.042983963344788,0.0293085353054601
W5P2,72,4.54747350886464e-12,3.97903932025656e-13,0,0,1.11022302462516e-16,0
W5P2,63,-7.01547619047324,12.4500000000003,12.45,0.0221980529900508,0.0133552165797773,0.022198052990051
W5P2,54,105.825000000004,24.9000000000001,24.9,0.044396105980102,0.0308275144852177,0.044396105980102
W5P2,45,-22.7312022222213,28.8142,28.8142,0.0513750312020825,0.0421741166827668,0.0513750312020825
W5P2,36,157.730141666664,39.1177999999999,39.1178,0.069746104197126,0.0700132445589917,0.0697461041971259
W5P3,72,6.3664629124105e-12,4.54747350886464e-13,0,0,5.55111512312578e-17,0
W5P3,63,45.3535714285763,12.4500000000003,12.45,0.0315110098709188,0.0133552165797775,0.0315110098709188
W5P3,54,-16.3694444444427,24.9000000000002,24.9,0.0630220197418374,0.0308275144852175,0.0630220197418375
W5P3,45,-23.0182000000004,29.1780000000001,29.178,0.0738496583143509,0.0427065952401861,0.0738496583143508
W5P3,36,-39.4308361111134,39.9861999999999,39.9862,0.101205264490002,0.0715675114547537,0.101205264490003
W5P4,72,5.45696821063757e-12,4.54747350886464e-13,0,0,5.55111512312578e-17,0
W5P4,63,45.3535714285763,12.4500000000003,12.45,0.0376747564001694,0.0133552165797773,0.0376747564001695
W5P4,54,195.741666666671,24.9000000000001,24.9,0.0753495128003391,0.0308275144852178,0.0753495128003389
W5P4,45,299.546066666669,31.754,31.754,0.0960902983719664,0.0464769766693012,0.0960902983719663
W5P4,36,176.333666666666,42.0359999999999,42.036,0.127204502814259,0.0752362542955326,0.127204502814259
W6P1,72,6.3664629124105e-12,4.54747350886464e-13,0,0,2.22044604925031e-16,0
W6P1,63,83.8892857142891,12.4500000000003,12.45,0.0173940985805298,0.0133552165797773,0.0173940985805298
W6P1,54,-16.3694444444418,24.9000000000002,24.9,0.0347881971610597,0.0308275144852178,0.0347881971610596
W6P1,45,-24.4445111111104,30.9860000000001,30.986,0.0432910472784173,0.0453528877960245,0.0432910472784174
W6P1,36,57.0278611111094,31.088,31.0880000000001,0.0434335531463061,0.0556414662084764,0.0434335531463061
W6P2,72,5.45696821063757e-12,4.54747350886464e-13,0,0,1.66533453693773e-16,0
W6P2,63,83.8892857142901,12.4500000000003,12.45,0.0272309711286088,0.0133552165797773,0.0272309711286089
W6P2,54,-16.3694444444436,24.9000000000002,24.9,0.054461942257218,0.0308275144852177,0.0544619422572179
W6P2,45,-24.8659355555546,31.5202,31.5202,0.0689418197725282,0.046134773572202,0.0689418197725284
W6P2,36,116.718224999999,42.9617999999999,42.9618,0.0939671916010498,0.0768932560137454,0.0939671916010499
W6P3,72,5.45696821063757e-12,4.54747350886464e-13,0,0,1.11022302462516e-16,0
W6P3,63,83.889285714291,12.4500000000003,12.45,0.0427189129838045,0.0133552165797773,0.0427189129838045
W6P3,54,-16.3694444444409,24.9000000000002,24.9,0.0854378259676092,0.0308275144852177,0.0854378259676091
W6P3,45,-26.2354466666666,33.2562,33.2562,0.114109936865221,0.048675682796171,0.114109936865221
W6P3,36,195.788891666666,45.0877999999999,45.0878,0.154706972275597,0.0806983820160365,0.154706972275597
W6P4,72,5.45696821063757e-12,2.27373675443232e-13,0,0,8.32667268468867e-17,0
W6P4,63,20.4024000000027,7.49560000000019,7.4956,0.0330493827160494,0.00804059127673729,0.0330493827160494
W6P4,54,65.8469111111117,17.9916000000001,17.9916,0.0793280423280424,0.022274550586837,0.0793280423280423
W6P4,45,129.231913333336,27.8378,27.8378,0.122741622574956,0.040745001610023,0.122741622574956
W6P4,36,328.858758333332,39.5573999999999,39.5574,0.174415343915344,0.0708000429553263,0.174415343915344
